row,col
0,25
0,37
1,34
1,45
2,35
2,37
3,24
3,32
4,17
4,47
5,39
5,43
6,43
6,53
7,13
7,31
8,10
8,18
9,24
9,38
10,44
10,57
11,51
11,66
12,6
12,51
13,58
13,66
14,11
14,12
15,23
15,30
16,27
16,32
17,39
17,61
18,4
18,57
19,42
19,45
20,1
20,19
21,10
21,25
22,5
22,6
23,19
23,50
24,56
24,62
25,44
25,65
26,5
26,17
27,9
27,49
28,0
28,2
29,29
29,36
30,2
30,50
31,1
31,58
32,49
32,62
33,3
33,16
34,7
34,64
35,15
35,63
36,29
36,36
37,63
37,65
38,16
38,56
39,48
39,60
40,0
40,21
41,3
41,9
42,15
42,46
43,59
43,60
44,40
44,55
45,46
45,64
46,20
46,23
47,8
47,61
48,4
48,26
49,13
49,38
50,35
50,42
51,53
51,54
52,7
52,11
53,14
53,59
54,14
54,33
55,8
55,21
56,27
56,41
57,47
57,55
58,34
58,52
59,12
59,22
60,22
60,26
61,18
61,48
62,33
62,41
63,28
63,30
64,20
64,31
65,28
65,40
66,52
66,54
